Cumulative Instructions,IPC_03
20739862,2.0675
54066574,1.0936
519249837,1.0197
986390408,1.0194
1452888474,1.0194
1919662265,1.0195
2386124861,1.0195
2853145968,1.0194
3319804824,1.0193
3786868883,1.0195
4252949378,1.0193
4718013443,1.0195
5184610715,1.0192
5650933633,1.0194
6117595049,1.0193
6583991171,1.0194
7050735894,1.0194
7472680974,1.6918
8136852899,1.5131
9033759756,1.9899
9949122798,2.0756
11211935714,2.7721
12202882524,2.1645
13462539361,2.7469
14726428478,2.7603
15809528635,2.3616
16871203105,2.3199
17941572971,2.3335
19027701685,2.3714
20087864748,2.3108
21136706112,2.2931
22204936915,3.0499
23082982096,2.0985
23594028554,1.1138
24080376048,1.3529
24778588776,1.5719
25706835506,2.0407
26705992438,2.262
27906604095,2.6161
28907285756,2.1858
30245336285,2.9196
31439216219,2.6134
32512466606,2.3411
33576052313,2.3237
34641295792,2.3223
35717702752,2.352
36774445761,2.3099
37821582140,2.2832
38946448903,3.3723
39661049065,1.6468
40170315686,1.1097
40712466125,1.5157
41426377955,1.5991
42346255760,2.0208
43477168228,2.483
44586304218,2.4194
45624217868,2.2684
46987707885,2.9743
48115849583,2.4647
49180150017,2.3199
50246775958,2.3298
51313993111,2.3351
52385138362,2.3408
53449328373,2.3251
54395528719,2.2254
55658855310,3.586
56238460185,1.2907
56748832332,1.18
57331833682,1.5254
58089377724,1.6839
58997059006,1.9984
60228807163,2.6997
61259142603,2.2537
62353180252,2.3904
63707302659,2.9521
64835513232,2.4645
65890804299,2.3065
66952627531,2.3151
68022199998,2.3358
69094775060,2.3375
70140473339,2.2849
71059780286,2.3437
72328056905,3.3776
72837771913,1.1104
73300767554,1.2011
73961802625,1.5481
74792361515,1.8411
75650025894,1.8918
76954368991,2.8448
77950068809,2.1748
79102570168,2.513
80428166132,2.8957
81537026125,2.4289
82594504973,2.3099
83661582015,2.3258
84740422596,2.3581
85800840479,2.3114
86853475302,2.299
87837413321,2.6547
88928324019,2.7296
89438817693,1.1122
89659293775,1.1131
90114660643,2.0466
90633709321,1.3309
91188411763,1.2349
91747454836,1.2425
92298231161,1.2274
92849875532,1.227
93410755810,1.2482
93964373268,1.2324
94522807344,1.2541
95069624874,1.2312
95591755304,1.1773
96108872396,1.1658
96628957566,1.1728
97149915962,1.174
97667395002,1.1672
98187649539,1.1711
98697759424,1.149
99212274898,1.1341
99774887097,1.2646
1.00E+11,1.2304
1.01E+11,1.2429
1.01E+11,1.2372
1.02E+11,1.2317
1.03E+11,1.2455
1.03E+11,1.2318
1.04E+11,1.1973
1.04E+11,1.1675
1.05E+11,1.144
1.05E+11,1.184
1.06E+11,1.1673
1.06E+11,1.2022
1.07E+11,1.138
1.07E+11,1.1484
1.08E+11,1.1913
1.08E+11,1.2337
1.09E+11,1.2582
1.09E+11,1.2377
1.10E+11,1.2425
1.11E+11,1.2351
1.11E+11,1.2237
1.12E+11,1.2503
1.12E+11,1.1696
1.13E+11,1.1822
1.13E+11,1.1704
1.14E+11,1.1611
1.14E+11,1.1774
1.15E+11,1.1933
1.15E+11,1.153
1.16E+11,1.133
1.16E+11,1.2283
1.17E+11,1.2363
1.17E+11,1.2301
1.18E+11,1.2544
1.19E+11,1.2371
1.19E+11,1.2332
1.20E+11,1.2327
1.20E+11,1.2084
1.21E+11,1.1776
1.21E+11,1.1635
1.22E+11,1.1666
1.22E+11,1.1686
1.23E+11,1.1865
1.23E+11,1.1603
1.24E+11,1.146
1.24E+11,1.1696
1.25E+11,1.25
1.26E+11,1.2241
1.26E+11,1.2468
1.27E+11,1.2337
1.27E+11,1.2371
1.28E+11,1.2548
1.28E+11,1.2667
1.29E+11,1.1738
1.29E+11,1.1741
1.30E+11,1.1694
1.30E+11,1.1877
1.31E+11,1.1729
1.31E+11,1.1847
1.32E+11,1.1194
1.32E+11,1.1316
1.33E+11,3.4247
1.33E+11,2.9503
1.34E+11,2.624
1.35E+11,2.7639
1.36E+11,2.6731
1.37E+11,2.532
1.38E+11,2.8216
1.40E+11,2.532
1.41E+11,2.745
1.42E+11,2.6128
1.43E+11,2.6675
1.44E+11,4.1438
