Time_03,IPC_03,Time_19,IPC_19
0.100251341,2.0675,0.100419018,1.845731869
5.024376717,1.0936,5.027848633,1.077094592
5.124518803,1.0197,5.128004245,1.019228651
5.224632562,1.0194,5.228131383,1.019252181
5.324741681,1.0194,5.328262654,1.019254089
5.424851524,1.0195,5.428380222,1.019247067
5.524960524,1.0195,5.528496636,1.019253893
5.62508103,1.0194,5.628623834,1.019242962
5.725190007,1.0193,5.728740468,1.019247906
5.825298545,1.0195,5.828858415,1.019254653
5.925406736,1.0193,5.928973953,1.019249465
6.025515912,1.0195,6.02908988,1.019251941
6.125623783,1.0192,6.129205279,1.019253037
6.22573202,1.0194,6.229320697,1.019253686
6.325840478,1.0193,6.329436088,1.0192561
6.425954566,1.0194,6.429523159,1.019249248
6.526063869,1.0194,6.52964055,1.019254113
6.626185999,1.6918,6.629769689,1.411364354
6.726346457,1.5131,6.729937892,1.18999928
6.826495627,1.9899,6.8301035,1.374603923
6.926644184,2.0756,6.930267749,1.685967427
7.026799906,2.7721,7.030434395,1.614632839
7.126950379,2.1645,7.130599075,1.625361588
7.227094796,2.7469,7.230767167,2.471685517
7.327252593,2.7603,7.330947154,1.602805584
7.427395039,2.3616,7.431111551,1.493277335
7.527535666,2.3199,7.531276056,1.527357643
7.627675438,2.3335,7.631439846,1.860428045
7.727816912,2.3714,7.731612699,2.255764343
7.827958586,2.3108,7.831783569,2.075477868
7.928102606,2.2931,7.931954341,1.917307997
8.028252984,3.0499,8.032124541,1.700808882
8.128406601,2.0985,8.132301658,1.741106811
8.228562599,1.1138,8.232515791,1.63822842
8.328693638,1.3529,8.33268023,1.777691209
8.428851388,1.5719,8.432848408,1.844064029
8.528994754,2.0407,8.533021194,1.924361303
8.629139487,2.262,8.633189604,1.859266103
8.729293862,2.6161,8.733357022,1.922756397
8.82944582,2.1858,8.83352511,1.738966344
8.929590473,2.9196,8.933695552,1.757607479
9.029738595,2.6134,9.033867688,2.777419375
9.12989744,2.3411,9.134056916,2.650778315
9.230042966,2.3237,9.234227394,1.466135732
9.330188192,2.3223,9.334396255,1.384923516
9.430332952,2.352,9.43456958,1.261188385
9.530478377,2.3099,9.534737299,1.35005917
9.630592457,2.2832,9.634900331,1.733564495
9.730742132,3.3723,9.735081895,1.626179059
9.830890573,1.6468,9.835252046,1.696727965
9.931030097,1.1097,9.935421919,2.478995291
10.0311753,1.5157,10.03560712,1.543430621
10.1313311,1.5991,10.13577402,1.492210413
10.23148024,2.0208,10.23594256,1.550075931
10.33162744,2.483,10.33611483,1.922782335
10.43177439,2.4194,10.43620286,2.245249866
10.53192296,2.2684,10.53637188,2.07360094
10.63207037,2.9743,10.63654036,1.915567176
10.73222048,2.4647,10.73670598,1.705786018
10.83238385,2.3199,10.83688425,1.756612165
10.93253266,2.3298,10.93704988,1.68514036
11.03267822,2.3351,11.03721812,1.754291422
11.13282533,2.3408,11.13739072,1.861061275
11.23297166,2.3251,11.23756261,1.924448207
11.33311879,2.2254,11.33773559,1.843905633
11.43326342,3.586,11.43790689,1.910896629
11.53341436,1.2907,11.53807159,1.754168441
11.63355778,1.18,11.63824159,1.759587497
11.73372033,1.5254,11.73842683,2.909835812
11.83387439,1.6839,11.83859748,2.412578328
11.93402461,1.9984,11.93876392,1.465817059
12.03417213,2.6997,12.03892466,1.267474263
12.13432355,2.2537,12.13909203,1.414904456
12.23446884,2.3904,12.23925746,1.288571705
12.33461808,2.9521,12.33944675,1.771657921
12.4347619,2.4645,12.43953167,1.587716245
12.53490752,2.3065,12.5396968,1.79225617
12.6350681,2.3151,12.63988434,2.373692568
12.73525268,2.3358,12.740055,1.509312885
12.83539754,2.3375,12.84023008,1.485375575
12.93554298,2.2849,12.94039827,1.69012812
13.03568618,2.3437,13.0405677,1.883172856
13.1358315,3.3776,13.14073451,2.370603788
13.23599339,1.1104,13.2408977,1.934808143
13.33612615,1.2011,13.34106357,1.893756402
13.43629019,1.5481,13.44126579,1.68906451
13.53643505,1.8411,13.54143581,1.669838156
13.63659341,1.8918,13.64160618,1.75250227
13.73674293,2.8448,13.74177394,1.785460207
13.83689081,2.1748,13.84194093,1.878567076
13.93703732,2.513,13.94210892,1.939111652
14.03718292,2.8957,14.04227306,1.824609668
14.13725862,2.4289,14.14243999,1.936692409
14.23739927,2.3099,14.24261045,1.733514895
14.33755583,2.3258,14.34279424,1.889694598
14.43769676,2.3581,14.44296762,3.007217296
14.53785473,2.3114,14.54313705,2.085399767
14.63799508,2.299,14.64330588,1.46410295
14.73813708,2.6547,14.74347129,1.23399518
14.83828041,2.7296,14.84364916,1.408850092
14.93841839,1.1122,14.94383702,1.401641283
15.03873691,1.1131,15.04400552,1.717347271
20.06365813,2.0466,15.14416818,1.619946094
20.16382047,1.3309,15.24434973,1.950107849
20.26392206,1.2349,15.34451908,2.197386285
20.36407167,1.2425,15.44469212,1.485532415
20.46421938,1.2274,15.54486465,1.486872361
20.56437264,1.227,15.64503105,1.716477162
20.66452127,1.2482,15.74519564,1.913362435
20.76468236,1.2324,15.84536231,2.357988659
20.86483131,1.2541,15.94552937,1.971649221
20.96497549,1.2312,16.04569767,1.823262281
21.06511762,1.1773,16.14588536,1.679492033
21.16525667,1.1658,16.24605161,1.633571977
21.26539972,1.1728,16.34620078,1.787356665
21.36553677,1.174,16.446367,1.781308849
21.4656748,1.1672,16.54653303,1.891390328
21.56584061,1.1711,16.6467047,1.933121562
21.66597797,1.149,16.74686952,1.85480864
21.76611619,1.1341,16.84703437,1.903588484
21.86625765,1.2646,16.94720069,1.712578462
21.96640087,1.2304,17.04738329,1.95023413
22.06654864,1.2429,17.14755548,3.085837542
22.16669098,1.2372,17.2477243,1.877571323
22.26683179,1.2317,17.34789277,1.463151399
22.36697126,1.2455,17.44805802,1.182165265
22.4671298,1.2318,17.54823141,1.439986136
22.56725353,1.1973,17.6483992,1.416034104
22.66738727,1.1675,17.74856564,1.716106045
22.76752475,1.144,17.84874121,1.613531891
22.8676633,1.184,17.94890711,2.112164807
22.96779814,1.1673,18.04907688,2.04969944
23.06793489,1.2022,18.14924248,1.485261336
23.16807384,1.138,18.24940885,1.491445054
23.26899606,1.1484,18.34953383,1.726893089
23.36916548,1.1913,18.44970014,2.065589594
23.46931194,1.2337,18.54987842,2.230431362
23.569455,1.2582,18.65005665,2.003722929
23.66959943,1.2377,18.75024211,1.804664304
23.7697411,1.2425,18.85040763,1.687504065
23.86988361,1.2351,18.95057485,1.651756238
23.97002543,1.2237,19.0507459,1.777236836
24.07017002,1.2503,19.15091589,1.801741995
24.17032419,1.1696,19.25108573,1.885070283
24.27046199,1.1822,19.3512552,1.921506397
24.370588,1.1704,19.45142087,1.886520487
24.47072588,1.1611,19.55158725,1.817512856
24.57088166,1.1774,19.65179018,1.793916665
24.67102778,1.1933,19.75195829,2.195515708
24.77116731,1.153,19.85212683,3.072954559
24.87130664,1.133,19.95229723,1.638246193
24.97144966,1.2283,20.05260022,1.463993569
25.07160469,1.2363,25.08138704,1.258266921
25.17174938,1.2301,25.18156522,1.539853905
25.27189213,1.2544,25.28174219,0.655161131
25.37203647,1.2371,25.38189552,1.553878595
25.47218329,1.2332,25.48206038,1.12727903
25.572326,1.2327,25.58222601,1.131137981
25.67247275,1.2084,25.6823915,1.105233655
25.77261619,1.1776,25.7825577,1.153415467
25.8727565,1.1635,25.88272347,1.121733362
25.97290868,1.1666,25.98286311,1.153827456
26.07306126,1.1686,26.08302855,1.114975396
26.17320349,1.1865,26.18319477,1.14209034
26.27334356,1.1603,26.28336041,1.117481206
26.37348126,1.146,26.38352126,1.151048304
